index,hash,name,ext
0,9a5453bf09d7f5c71a6451d255471374fb2d7cc5f3dfb1ea51223a5c88cdda47,SLUS_010.41,
1,c8c033fb2d2d0ceaf0d6a29d766713fa58eb2ca726e5ab5b37ce8c125f97c09f,SYSTEM.CNF,
2,None,,
3,None,,
4,dbb26c5e74c57fbdbffd862aaa1e9468ca62111afba914e351e4ac8cc93bf2c8,field_overlay,
5,51625a96bb807019586d807dcd338d174f36b216bb8a9fd92ca72adad06654b0,,
6,c97cb8a530eaac52e85bcdb6da2016865d20ffb82dd958416c9e66361801ff39,battle_overlay,
7,57b20e9d40956841fc374c5d873689a8eac1b678da729fe9e0ef8bc9fe10a746,,
8,859ddfc51aa9b9e7befd229cc75ee07d12ffae96324f6eb8a22ae6ebed6616a2,,
9,f89bbd0d2b7115ad6086a7b827e35618e51498a722a5d15cdbc5d186d61245b6,end_combat_routine,
10,af366568e4e65e0fbc1942375735d80d67f9488fef77e262509bd0d0c026c272,end_combat_info,
11,979d1c5e84242580a172d026d4430bc562169298d7eba10acb19f77e06a5f32c,battle_ui,
12,None,,
13,None,,
14,None,,
15,None,,
16,None,,
17,None,,
18,None,,
19,None,,
20,None,,
21,dafd1229ef6acf798a7b3fac74b4a4a950a03a18b2e25a7ad50c5256fed0fc41,,
22,7c5d23b3129e41a691e3c10112d2eece88a52bf5df4f5e380371ab8b72a9a21f,,
23,29017bb424d728db0afa6d82a875f79e5dc280bcbb6e0b02f87a3c433da972ac,,
24,b822c2ba0eedcf521d779f2f0c7ae4eaa8f67589d52335e4942b70e717b70723,,
25,None,,
26,None,,
27,None,,
28,None,,
29,None,,
30,None,,
31,None,,
32,None,,
33,None,,
34,None,,
35,None,,
36,None,,
37,None,,
38,3532bc6432f0a8482139d10a9fc9af2f9d7a63c13f772e9186b22310b5a362a0,namer,
39,b36f1949de7e13c89f40c11712bf3a48ede8b4d4c72a39ec99a9959e769a2522,element_table,
40,a5f7b75b16cec65d01d27d45aefda690dea4d522090ffdcc17ca3acc3abe1780,name_and_element_text,
