index,hash,name,ext
0,3d017f43cf4b62d034673d3aced6c7f6b64f5fc0bba39f747959b89f9fffcaaa,SLUS_010.19,
1,22e6c1aa3f810f2f470cb17682d43c847d496c2a914045dba1ca293795607c37,,
2,None,,
3,41046422b47cc34a5e64500098b38542911bdf87b2a469cda987a358d4b1f69e,,
4,aa4c20bce9ed2ceaa1c8c757b289d1199ed972c33bcc556ad00bdd07b73349ed,,
5,fb87d48bd80e9a2862d5b34f1108e83d978983a3eb18d9a0583a1c1c3eb4e192,,
6,d1ca2937f0dc95b3d8772e232ad0343e1c40d8c45ff2c4c487ff63c6d8c49027,,
7,4ea9933e8d308532376a5db715efaba7b34b880454e1e7ad3ab0723fb87722b7,,
8,42bcc86f1557a612fbf5311e3838cf43bda257d4050b50902b2ef51111a33c2f,,
9,c7fd3c0e5440579fcc680dcfd16e7f1d3a2d9c193ab73507ef449bba01179285,,
10,31ee07ddc307574e61c6b4c32b407fa2ae8b766de0e207eb721a97d74027e803,,
11,3d5313524dd8b03d544b26b1da9022af4f2c559ddf5ec49395688fe16775acbc,,
12,2cb2cc73a10c60328552b48d74fe698f830e4f159b5413379cb1bf5d4ac6250a,,
13,faf649081d1ab3946c997f2935ab1becc45c4243a84ace7d44c2096c0a2a7c17,,
14,6d3e07ac9abdc2863a55571b21dbbdfa4ce8a93ad35a4e44fb99c098f793c59f,RUE_STORY_ASSETS_A,
15,dc648741e51ff97c09bc6e23a789c13fc4e6542d8497d5ecdfa90b150b378607,RUE_STORY_ASSETS_B,
16,7e82b9a194ec1ed6e537cba2c152f5038382435cf07c6b4ac19b2279ce38f29c,MINT_STORY_ASSETS_A,
17,3a877cbb02004257ceeadfca6e0cd9f1213054ebb66de0dabbc68739d3c400f1,MINT_STORY_ASSETS_B,
18,658f6d1f0413f710f6e2261d3de1068c7f043ec50e0f2827e6cadb3951181e8d,,
19,dd50da29ee5d6962e17c9e63ae58f7cb53f4b30e54c4f76b4039e9d2db494fbd,,
20,4086cc2aedff69b07181707489b8bec1f2ad46a6ea7e2dc83717b890494b5783,,
21,908de83550912d0896d3f3552715562532af92fe9497115ceeb8ce78c5fae6b4,,
22,243fa6ede45f9f705bb59298ddfd7ebbaf7bfc14dabc8b212d82d9d06df26dda,,
23,221e9d56766b190a5cde217ebfe3873478963550e81e4879ecef28e1c5d6d5c5,,
24,0747ffccecbabb0ad8088e187a5634308f9d8d767829e91bd103f1ceeb7dc257,,
25,7ee24fba23e0bde1853cb024c58014c21754c1d004c058df93f573eb2ef8d56f,,
26,b0fa1031a4b93eec61a8e41f610e30714802dbc3ad7cc53e625efa9707e35879,,
27,c242871e5607356d56c5359d0738463809abfa82688451703fa724e8deb1e088,,
28,None,,
29,None,,
30,b6a971850a56756f7ca86a44432d113ac7e5cff5daa2f806ae93434bf1ca6ca5,,
31,e63c1f2870c8f403973d34bff9d4976b755bc2b6233c806a24be067814bbb74b,Town,.wab
32,6e091ce0e6a29c938816d4c9b3bce8f403a144c6f8023ada2b489c2ed4f17eed,Town,.bgm
33,c271151f5221db9677141326ccc25b55ba20d2c81c8d1d87a6590c0af8b824ba,,
34,9a79e311b3f07647879aa6802d8be3d0b9696989b57ecfff1e4101a9bd96b0e9,,
35,a51d3e192c9101d7762ddf9956a7bc43ac57d94e4d4f571ca8dcbcf98aa7e227,,
36,865664f9792025ed1360e1636c2717687da12172ed2f1450d76598c0ed1dfa89,,
37,00e4371a165c85e30990a7a93f2840517f1bc33cbd03c392a8f3ff5f06b34e72,,
38,3803eca07b56d1d24327b2854c7ccd0f8428d5e99be5f54ff01d343f9a7caa0c,,
39,eb5b7aa48935d595d9b2a6a99ca78ac2115a7e501d6d6351b22ae8fe9b884cd7,,
40,80791fa94b7485926fd0c59ad73d90051b04f2e66711067290e807dc03d9558a,,
41,16b1d2f33439e692ef3bd3d20cf5e0c8602e752763015de52fc194353766cf1b,,
42,f816f1d0acf13a3d6c4f86d09e35597046f130cd3fa53e363b9eee3ac2811eb7,,
43,e63c1f2870c8f403973d34bff9d4976b755bc2b6233c806a24be067814bbb74b,,
44,6e091ce0e6a29c938816d4c9b3bce8f403a144c6f8023ada2b489c2ed4f17eed,,
45,7020c73669246cd69111976825e0b9069fc45d0c901a92c41c043e2770746d02,,
46,a51d3e192c9101d7762ddf9956a7bc43ac57d94e4d4f571ca8dcbcf98aa7e227,,
47,865664f9792025ed1360e1636c2717687da12172ed2f1450d76598c0ed1dfa89,,
48,7877ae73b7fb84c071abff16d554156d706dc6ad4ca50f95481a6ef18ba3cbe2,,
49,80791fa94b7485926fd0c59ad73d90051b04f2e66711067290e807dc03d9558a,,
50,9f630678011705bb9a9c79d06b4bf92e758a4719235826ec111d6535817ce566,,
51,00e4371a165c85e30990a7a93f2840517f1bc33cbd03c392a8f3ff5f06b34e72,,
52,eb5b7aa48935d595d9b2a6a99ca78ac2115a7e501d6d6351b22ae8fe9b884cd7,,
53,7837fedbcb27332feb42327370b62ab6248e28cbad2deb94bc088bbe9f506b0c,,
54,16b1d2f33439e692ef3bd3d20cf5e0c8602e752763015de52fc194353766cf1b,,
55,a0b939ef22ea48126d8ee442e280650dad49b71df0c64f19ca0bad9d41048c52,,
56,9563c4103b95ca7089c432138bdec815328a22e9249a8cce6a604948d2b6573a,,
57,16b1d2f33439e692ef3bd3d20cf5e0c8602e752763015de52fc194353766cf1b,,
58,88a529967a57cc6fd606298fdb983a36df62be0416debe172de9f08987b94c86,,
59,d0a997c8c5957539e079f116dc712fa70276859cdd48eeeff3680a02bec52119,,
60,81f32ddf8d21fba96f4175ed0bc4be59ac6d302287cf56485d621131e7b672e9,,
61,dae1da363f1acc3e516cd238c483c476baa54f7dfaf6a8aa71401a546d119e76,,
62,e63c1f2870c8f403973d34bff9d4976b755bc2b6233c806a24be067814bbb74b,,
63,6e091ce0e6a29c938816d4c9b3bce8f403a144c6f8023ada2b489c2ed4f17eed,,
64,93e9beb76cc22923b8d9b78a68189876d7c2b3acb592377b0668825fcb5e97fc,,
65,7020c73669246cd69111976825e0b9069fc45d0c901a92c41c043e2770746d02,,
66,c271151f5221db9677141326ccc25b55ba20d2c81c8d1d87a6590c0af8b824ba,,
