index,name,ext,folder,rde_name,rde_folder
0,SLUS_010.41,,program,slus_010.41,work\cdrom\prog
1,SYSTEM.CNF,,program,system.cnf,work\cdrom
2,,,program,,
3,,,program,,
4,field_overlay,,program,field.prg,work\cdrom\prog
5,miyatest_overlay,,program,miyatest.prg,work\cdrom\prog
6,battle_overlay,,program,battle.prg,work\cdrom\prog
7,title_overlay,,program,title.prg,work\cdrom\prog
8,battle_init_overlay,,program,btlinit.prg,work\cdrom\prog
9,battle_end_overlay,,program,btlexit.prg,work\cdrom\prog
10,end_combat_info,,program,exdat.dat,work\cdrom\battle\data
11,battle_ui,,program,btend.prd,work\cdrom\battle
12,,,program,,
13,,,program,,
14,,,program,,
15,,,program,,
16,,,program,,
17,,,program,,
18,,,program,,
19,,,program,,
20,,,program,,
21,,,program,wave0000.dat,work\cdrom\sound\wave
22,,,program,effect00.dat,work\cdrom\sound\effect\common
23,,,program,title.prd,work\cdrom
24,,,program,title.ltd,work\cdrom
25,,,program,,
26,,,program,,
27,,,program,,
28,,,program,,
29,,,program,,
30,,,program,,
31,,,program,,
32,,,program,,
33,,,program,,
34,,,program,,
35,,,program,,
36,,,program,,
37,,,program,,
38,namer,,program,namemenu.prg,work\cdrom\prog
39,element_table,,program,menuelem.prd,work\cdrom\menu
40,name_and_element_text,,program,menutest.prg,work\cdrom\prog
41,fonts_and_menu,,program,menutim.prd,work\cdrom\menu
42,menu_strings,,program,menutest.prd,work\cdrom\menu
43,element_data_for_menu,,program,pgdat.bin,work\cdrom\battle\data
44,element_related,,program,menu_pg.bin,work\cdrom\battle\data
45,menu_item_stats,,program,waa.bin,work\cdrom\battle\data
46,,,program,waa_name.dat,work\cdrom\menu
47,item_specs,,program,menu_waa.bin,work\cdrom\battle\data
48,item_descriptions,,program,waa_spec.dat,work\cdrom\menu
49,,,program,,
50,serge,,menu_chr_panel,p00.tim,work\cdrom\menu\playtim
51,kid,,menu_chr_panel,p01.tim,work\cdrom\menu\playtim
52,guile,,menu_chr_panel,p02.tim,work\cdrom\menu\playtim
53,norris,,menu_chr_panel,p03.tim,work\cdrom\menu\playtim
54,nikki,,menu_chr_panel,p04.tim,work\cdrom\menu\playtim
55,viper,,menu_chr_panel,p05.tim,work\cdrom\menu\playtim
56,riddel,,menu_chr_panel,p06.tim,work\cdrom\menu\playtim
57,karsh,,menu_chr_panel,p07.tim,work\cdrom\menu\playtim
58,zoah,,menu_chr_panel,p08.tim,work\cdrom\menu\playtim
59,marcy,,menu_chr_panel,p09.tim,work\cdrom\menu\playtim
60,korcha,,menu_chr_panel,p10.tim,work\cdrom\menu\playtim
61,luccia,,menu_chr_panel,p11.tim,work\cdrom\menu\playtim
62,poshul,,menu_chr_panel,p12.tim,work\cdrom\menu\playtim
63,razzly,,menu_chr_panel,p13.tim,work\cdrom\menu\playtim
64,zappa,,menu_chr_panel,p14.tim,work\cdrom\menu\playtim
65,orcha,,menu_chr_panel,p15.tim,work\cdrom\menu\playtim
66,radius,,menu_chr_panel,p16.tim,work\cdrom\menu\playtim
67,fargo,,menu_chr_panel,p17.tim,work\cdrom\menu\playtim
68,macha,,menu_chr_panel,p18.tim,work\cdrom\menu\playtim
69,glenn,,menu_chr_panel,p19.tim,work\cdrom\menu\playtim
70,leena,,menu_chr_panel,p20.tim,work\cdrom\menu\playtim
71,miki,,menu_chr_panel,p21.tim,work\cdrom\menu\playtim
72,harle,,menu_chr_panel,p22.tim,work\cdrom\menu\playtim
73,janice,,menu_chr_panel,p23.tim,work\cdrom\menu\playtim
74,draggy,,menu_chr_panel,p24.tim,work\cdrom\menu\playtim
75,starky,,menu_chr_panel,p25.tim,work\cdrom\menu\playtim
76,spirgg,,menu_chr_panel,p26.tim,work\cdrom\menu\playtim
77,mojo,,menu_chr_panel,p27.tim,work\cdrom\menu\playtim
78,turnip,,menu_chr_panel,p28.tim,work\cdrom\menu\playtim
79,neofio,,menu_chr_panel,p29.tim,work\cdrom\menu\playtim
80,greco,,menu_chr_panel,p30.tim,work\cdrom\menu\playtim
81,skelly,,menu_chr_panel,p31.tim,work\cdrom\menu\playtim
82,funguy,,menu_chr_panel,p32.tim,work\cdrom\menu\playtim
83,irenes,,menu_chr_panel,p33.tim,work\cdrom\menu\playtim
84,mel,,menu_chr_panel,p34.tim,work\cdrom\menu\playtim
85,leah,,menu_chr_panel,p35.tim,work\cdrom\menu\playtim
86,van,,menu_chr_panel,p36.tim,work\cdrom\menu\playtim
