index,name,ext,folder
0,SLUS_010.19,,game_boot
1,SYSTEM,.CNF,game_boot
2,,,
3,unk_offset_table,,game_boot
4,,,game_boot
5,,,game_boot
6,particle_texs,,game_boot
7,controller_icons,,game_boot
8,debug_font,,game_boot
9,,,game_boot
10,,,game_boot
11,,,game_boot
12,chr_id_table,.dat,game_boot
13,,,game_boot
14,rue_skill_icons,.dat,game_boot
15,rue_story_refs,.dat,game_boot
16,mint_skill_icons,.dat,game_boot
17,mint_story_refs,.dat,game_boot
18,,,
19,creature_icons,,
20,unk_offset_table,,game_boot
21,,,
22,,,
23,credits_montage_rue,,event/CREDITS
24,credits_montage_mint,,event/CREDITS
25,,,
26,font,.dat,game_boot
27,realmode,.dat,
28,,,
29,,,
30,,,event/INTRO_TOWN
31,,,event/INTRO_TOWN
32,,,event/INTRO_TOWN
33,,.evpcm,event/INTRO_TOWN
34,,.evsfp,event/INTRO_TOWN
35,,.mtd,event/INTRO_TOWN
36,,.mmd,event/INTRO_TOWN
37,,,event/INTRO_TOWN
38,,,event/INTRO_TOWN
39,,,event/INTRO_TOWN
40,,,event/INTRO_TOWN
41,,,event/INTRO_TOWN
42,,,event/TOWN_A
43,,,event/TOWN_A
44,,,event/TOWN_A
45,,,event/TOWN_A
46,,.mtd,event/TOWN_A
47,,,event/TOWN_A
48,,,event/TOWN_A
49,,,event/TOWN_A
50,,,event/TOWN_A
51,,,event/TOWN_A
52,,,event/TOWN_A
53,,,event/TOWN_A
54,,,event/TOWN_A
55,,,event/TOWN_A
56,,,event/TOWN_A
57,,,event/TOWN_A
58,,,event/TOWN_A
59,,,event/TOWN_A
60,,,event/TOWN_B
61,,.effect,event/TOWN_B
62,,,event/TOWN_B
63,,,event/TOWN_B
64,,,event/TOWN_B
65,,,event/TOWN_B
66,,.evpcm,event/TOWN_B
67,,.evsfp,event/TOWN_B
68,,.mtd,event/TOWN_B
69,,,event/TOWN_B
70,,,event/TOWN_B
71,,,event/TOWN_B
72,,,event/TOWN_B
73,,,event/TOWN_B
74,,,event/TOWN_B
75,,,event/TOWN_B
76,,,event/TOWN_B
77,,,event/TOWN_B
78,,,event/TOWN_B
79,,,event/TOWN_B
80,,,event/TOWN_B
81,,,event/TOWN_C
82,,,event/TOWN_C
83,,,event/TOWN_C
84,,,event/TOWN_C
85,,.mtd,event/TOWN_C
86,,,event/TOWN_C
87,,,event/TOWN_C
88,,,event/TOWN_C
89,,,event/TOWN_C
90,,,event/TOWN_C
91,,,event/TOWN_C
92,,,event/TOWN_C
93,,,event/TOWN_C
94,,,event/TOWN_D
95,,.effect,event/TOWN_D
96,,,event/TOWN_D
97,,,event/TOWN_D
98,,,event/TOWN_D
99,,.evpcm,event/TOWN_D
100,,.evsfp,event/TOWN_D
101,,.mtd,event/TOWN_D
102,,,event/TOWN_D
103,,,event/TOWN_D
104,,,event/TOWN_D
105,,,event/TOWN_D
106,,,event/TOWN_D
107,,,event/TOWN_D
108,,,event/TOWN_D
109,,,event/TOWN_D
110,,,event/TOWN_D
111,,,event/TOWN_D
112,,,event/TOWN_D
113,,,event/TOWN_D
114,,,event/TOWN_D
115,,,event/TOWN_F
